promotion_id,promotion_name,promotion_type,discount_percentage,status,start_date,end_date
133,Christmas Fashion Sale,Member Exclusive,20,Expired,2023-04-22,2023-05-18
134,Member Exclusive Sports,Member Exclusive,25,Expired,2023-12-30,2024-01-17
135,Holi Automotive Sale,Limited Time,35,Expired,2023-04-30,2023-05-06
136,Cyber Monday Home Sale,Flash Sale,30,Expired,2022-12-23,2023-01-29
137,New Year Sports Sale,Weekend Sale,5,Upcoming,2025-06-09,2025-06-24
138,Diwali Office Supplies Sale,Weekend Sale,35,Expired,2021-06-03,2021-07-18
139,Christmas Mega Offer,Member Exclusive,10,Expired,2021-09-14,2021-10-07
140,Clearance Furniture,Flash Sale,25,Expired,2024-07-24,2024-08-31
141,Member Exclusive Automotive,Weekend Sale,15,Expired,2022-11-28,2023-01-08
142,Festival Office Supplies Sale,Weekend Sale,15,Expired,2021-04-03,2021-04-08
143,New Year Furniture Sale,Flash Sale,35,Expired,2023-06-23,2023-07-16
144,Back To School Mega Offer,Limited Time,5,Expired,2024-10-27,2024-11-07
145,Seasonal Offer Sports,BOGO,35,Expired,2021-12-26,2022-02-06
146,Festival Super Saver,Flash Sale,15,Expired,2024-10-02,2024-10-11
147,Independence Day Home Sale,Member Exclusive,20,Expired,2022-06-19,2022-07-16
148,Brand Promotion Automotive,Brand Promotion,40,Upcoming,2025-01-08,2025-02-17
149,New Year Automotive Sale,Festival Sale,5,Expired,2023-03-22,2023-04-10
150,Cyber Monday Beauty Sale,BOGO,50,Expired,2022-09-04,2022-10-06
151,Festival Sale Office Supplies,Clearance,15,Expired,2023-08-02,2023-08-27
152,Festival Sale Electronics,Category Discount,60,Expired,2021-05-18,2021-05-27
153,Independence Day Electronics Sale,Limited Time,20,Expired,2023-04-04,2023-05-05
154,Summer Fashion Sale,Limited Time,35,Expired,2024-02-26,2024-03-26
155,BOGO Fashion,Brand Promotion,30,Expired,2022-06-07,2022-06-23
156,Year End Home Sale,Member Exclusive,10,Expired,2022-03-10,2022-03-25
157,BOGO Beauty,BOGO,25,Expired,2024-02-05,2024-02-28
158,Weekend Sale Automotive,Category Discount,35,Expired,2023-01-30,2023-02-22
159,Black Friday Electronics Sale,Category Discount,5,Upcoming,2025-09-15,2025-09-22
160,Festival Automotive Sale,Member Exclusive,60,Expired,2024-06-19,2024-08-01
161,Black Friday Automotive Sale,Category Discount,35,Expired,2023-12-26,2024-02-02
162,Seasonal Offer Automotive,Brand Promotion,25,Expired,2024-11-28,2024-12-15
163,Year End Furniture Sale,Member Exclusive,60,Expired,2022-04-16,2022-05-02
164,BOGO Furniture,Seasonal Offer,30,Upcoming,2025-09-14,2025-09-21
165,Christmas Office Supplies Sale,Member Exclusive,40,Expired,2024-07-22,2024-08-11
166,Diwali Home Sale,Brand Promotion,35,Expired,2022-08-21,2022-09-19
167,Seasonal Offer Home,BOGO,15,Expired,2023-09-09,2023-10-02
168,Member Exclusive Electronics,BOGO,10,Expired,2023-06-17,2023-07-08
169,Seasonal Offer Electronics,BOGO,35,Expired,2023-07-10,2023-08-19
170,Flash Sale Fashion,BOGO,20,Expired,2021-10-27,2021-11-19
171,Christmas Home Sale,Category Discount,40,Expired,2021-07-23,2021-09-04
172,Black Friday Furniture Sale,Flash Sale,10,Expired,2022-03-14,2022-04-16
173,Limited Time Furniture,Weekend Sale,50,Upcoming,2025-07-13,2025-07-25
174,Category Discount Beauty,Member Exclusive,10,Expired,2021-06-26,2021-07-26
175,Republic Day Electronics Sale,Limited Time,30,Expired,2021-12-02,2022-01-05
176,Flash Sale Electronics,BOGO,5,Upcoming,2025-07-06,2025-08-11
177,Limited Time Beauty,Category Discount,35,Expired,2021-11-05,2021-11-08
178,Flash Sale Beauty,Brand Promotion,30,Upcoming,2025-08-14,2025-09-11
179,Diwali Sports Sale,Flash Sale,40,Expired,2021-05-13,2021-05-28
180,Republic Day Home Sale,Seasonal Offer,15,Expired,2023-08-03,2023-08-09
181,Back To School Office Supplies Sale,Weekend Sale,15,Expired,2023-02-23,2023-03-25
182,Holi Beauty Sale,Limited Time,40,Expired,2023-02-23,2023-03-20
183,Holi Electronics Sale,Weekend Sale,50,Upcoming,2025-07-15,2025-08-17
184,Festival Sale Sports,Clearance,30,Expired,2024-11-20,2024-11-27
185,Christmas Furniture Sale,Flash Sale,35,Expired,2023-03-02,2023-04-02
186,Diwali Automotive Sale,Brand Promotion,35,Expired,2023-01-09,2023-01-12
187,Monsoon Fashion Sale,Clearance,40,Expired,2022-06-24,2022-07-25
188,Seasonal Offer Office Supplies,Limited Time,35,Expired,2024-02-08,2024-02-14
189,Cyber Monday Furniture Sale,Seasonal Offer,15,Expired,2023-03-03,2023-03-09
190,Festival Sale Beauty,BOGO,25,Expired,2024-10-19,2024-11-04
191,Valentine Fashion Sale,Clearance,60,Expired,2022-04-04,2022-04-23
192,Back To School Home Sale,Clearance,25,Expired,2024-09-04,2024-10-08
193,Weekend Sale Beauty,Weekend Sale,40,Expired,2024-11-06,2024-12-13
194,Member Exclusive Furniture,Limited Time,35,Expired,2023-10-22,2023-11-01
195,Clearance Automotive,Flash Sale,60,Upcoming,2025-04-08,2025-04-21
196,Independence Day Office Supplies Sale,Category Discount,30,Expired,2023-12-30,2024-01-14
197,Monsoon Beauty Sale,Weekend Sale,20,Expired,2024-07-07,2024-07-25
198,Holi Fashion Sale,Brand Promotion,15,Expired,2024-04-22,2024-05-27
199,Christmas Electronics Sale,Category Discount,5,Expired,2024-09-17,2024-09-26
200,Independence Day Fashion Sale,Limited Time,10,Expired,2022-09-09,2022-10-08
201,Republic Day Sports Sale,Seasonal Offer,60,Active,2024-12-13,2025-01-18
202,Republic Day Furniture Sale,Limited Time,25,Expired,2022-12-01,2022-12-26
203,Festival Home Sale,BOGO,15,Expired,2021-12-03,2022-01-06
204,Festival Fashion Sale,BOGO,50,Expired,2023-12-23,2023-12-29
205,Limited Time Home,Clearance,60,Expired,2022-02-16,2022-03-04
206,Clearance Electronics,Weekend Sale,5,Upcoming,2025-03-24,2025-04-30
207,Valentine Furniture Sale,Clearance,50,Expired,2023-05-28,2023-06-17
208,Back To School Automotive Sale,Brand Promotion,30,Expired,2021-03-23,2021-05-06
209,Diwali Fashion Sale,Seasonal Offer,15,Expired,2022-05-15,2022-05-20
210,Flash Sale Automotive,Flash Sale,60,Upcoming,2025-08-28,2025-09-26
211,Back To School Fashion Sale,BOGO,50,Expired,2022-02-19,2022-03-27
212,BOGO Electronics,Weekend Sale,35,Expired,2024-11-09,2024-12-02
213,Brand Promotion Fashion,Limited Time,30,Expired,2023-11-08,2023-12-06
214,Clearance Beauty,Seasonal Offer,20,Expired,2022-04-15,2022-04-30
215,Republic Day Automotive Sale,Member Exclusive,5,Upcoming,2025-04-15,2025-05-22
216,BOGO Sports,Category Discount,15,Upcoming,2025-03-17,2025-04-25
217,Monsoon Sports Sale,Seasonal Offer,30,Expired,2023-04-24,2023-05-04
218,Category Discount Home,Weekend Sale,35,Expired,2021-08-20,2021-09-07
219,Independence Day Beauty Sale,Member Exclusive,35,Expired,2024-03-15,2024-04-28
220,Cyber Monday Office Supplies Sale,Limited Time,25,Upcoming,2025-08-14,2025-09-25
221,Flash Sale Furniture,Category Discount,50,Expired,2023-10-23,2023-11-24
222,Republic Day Fashion Sale,Clearance,60,Upcoming,2025-04-11,2025-05-23
223,Seasonal Offer Beauty,Brand Promotion,30,Expired,2022-04-18,2022-04-22
224,Category Discount Automotive,Category Discount,35,Expired,2023-11-29,2024-01-05
225,Back To School Sports Sale,Member Exclusive,15,Expired,2024-11-14,2024-12-20
226,Valentine Electronics Sale,Seasonal Offer,60,Expired,2021-10-25,2021-10-30
227,Summer Home Sale,Flash Sale,15,Expired,2021-08-12,2021-09-10
228,Cyber Monday Sports Sale,Brand Promotion,40,Expired,2021-08-31,2021-09-04
229,Year End Sports Sale,Member Exclusive,10,Expired,2022-07-11,2022-08-09
230,Black Friday Sports Sale,Flash Sale,10,Expired,2022-08-11,2022-09-14
231,Clearance Fashion,Category Discount,50,Expired,2023-09-21,2023-10-05
232,New Year Electronics Sale,Brand Promotion,50,Expired,2023-04-23,2023-05-02
233,Clearance Sports,Brand Promotion,60,Expired,2021-03-11,2021-03-15
234,Year End Automotive Sale,Category Discount,30,Expired,2022-11-26,2022-12-02
235,New Year Beauty Sale,Clearance,5,Expired,2021-12-19,2022-01-31
236,Brand Promotion Beauty,Weekend Sale,35,Expired,2023-05-23,2023-06-16
237,Weekend Sale Fashion,Flash Sale,60,Upcoming,2025-04-15,2025-04-20
238,Member Exclusive Fashion,Brand Promotion,15,Expired,2024-04-06,2024-04-11
239,Independence Day Furniture Sale,Clearance,60,Expired,2022-01-03,2022-01-11
240,BOGO Home,Brand Promotion,20,Upcoming,2025-03-11,2025-04-03
241,Summer Office Supplies Sale,Member Exclusive,30,Expired,2021-05-10,2021-06-05
242,Valentine Beauty Sale,Flash Sale,50,Expired,2022-08-24,2022-09-22
243,Cyber Monday Automotive Sale,Clearance,15,Upcoming,2025-06-09,2025-06-12
244,Back To School Furniture Sale,Category Discount,35,Upcoming,2025-05-06,2025-06-08
245,Brand Promotion Office Supplies,Clearance,40,Upcoming,2025-09-13,2025-10-13
246,BOGO Automotive,Limited Time,25,Expired,2022-12-13,2022-12-20
247,Independence Day Sports Sale,Member Exclusive,60,Expired,2022-11-06,2022-11-11
248,Diwali Furniture Sale,Flash Sale,40,Expired,2021-08-22,2021-10-06
249,Weekend Sale Office Supplies,Festival Sale,35,Expired,2021-11-07,2021-12-13
250,Member Exclusive Office Supplies,Seasonal Offer,60,Upcoming,2025-12-23,2026-01-29
251,Black Friday Home Sale,Member Exclusive,10,Upcoming,2025-03-30,2025-05-13
252,Monsoon Office Supplies Sale,BOGO,30,Expired,2023-10-04,2023-10-08
253,Weekend Sale Home,Category Discount,30,Expired,2023-07-31,2023-09-10
254,Festival Electronics Sale,Member Exclusive,50,Expired,2022-07-24,2022-08-22
255,Summer Furniture Sale,Seasonal Offer,5,Expired,2023-09-10,2023-10-10
256,Holi Home Sale,Flash Sale,25,Expired,2022-02-12,2022-02-27
257,Weekend Sale Furniture,Member Exclusive,20,Expired,2023-05-29,2023-06-27
258,Flash Sale Home,Festival Sale,50,Upcoming,2025-01-03,2025-01-08
259,Cyber Monday Electronics Sale,Festival Sale,25,Expired,2024-06-16,2024-06-26
260,Republic Day Beauty Sale,Clearance,50,Expired,2023-02-09,2023-03-22
261,Year End Office Supplies Sale,Clearance,50,Expired,2024-05-17,2024-05-27
262,Limited Time Office Supplies,Clearance,10,Expired,2022-09-18,2022-10-31
263,Festival Furniture Sale,BOGO,5,Expired,2024-06-16,2024-07-01
264,Monsoon Electronics Sale,Seasonal Offer,35,Expired,2024-10-21,2024-11-14
265,Diwali Electronics Sale,Festival Sale,15,Expired,2023-11-27,2024-01-01
266,Valentine Home Sale,Festival Sale,30,Expired,2022-10-15,2022-10-18
267,Festival Sale Furniture,Limited Time,5,Expired,2021-08-01,2021-09-03
268,Summer Beauty Sale,Seasonal Offer,50,Expired,2021-02-23,2021-03-10
269,Holi Furniture Sale,Seasonal Offer,50,Expired,2022-04-11,2022-05-10
270,Summer Automotive Sale,Seasonal Offer,50,Expired,2024-03-01,2024-04-06
271,Festival Beauty Sale,Brand Promotion,50,Upcoming,2025-09-28,2025-10-02
272,Limited Time Sports,Limited Time,30,Upcoming,2025-07-03,2025-08-14
273,Valentine Automotive Sale,Brand Promotion,35,Expired,2022-03-09,2022-03-31
274,Christmas Beauty Sale,Festival Sale,5,Expired,2021-10-20,2021-12-02
275,Back To School Electronics Sale,Brand Promotion,60,Upcoming,2025-07-25,2025-08-21
276,Festival Sports Sale,Brand Promotion,50,Expired,2024-10-03,2024-11-01
277,Monsoon Home Sale,BOGO,40,Expired,2023-10-03,2023-11-02
278,Republic Day Exclusive,Member Exclusive,25,Expired,2022-01-10,2022-01-23
279,Automotive Bonanza,Weekend Sale,40,Upcoming,2025-12-11,2026-01-12
280,Holi Office Supplies Sale,BOGO,20,Expired,2021-09-28,2021-10-19
281,Christmas Automotive Sale,Limited Time,20,Expired,2021-10-22,2021-11-06
282,New Year Office Supplies Sale,Flash Sale,5,Expired,2022-01-14,2022-01-29
283,Furniture Bonanza,Clearance,35,Expired,2024-06-21,2024-07-25
284,New Year Home Sale,Festival Sale,5,Expired,2021-06-24,2021-07-05
285,Office Supplies Bonanza,Clearance,10,Expired,2022-01-24,2022-03-05
286,Automotive Price Drop,BOGO,5,Expired,2023-03-09,2023-04-08
287,Republic Day Mega Offer,Limited Time,30,Expired,2022-09-13,2022-09-18
288,Electronics Price Drop,BOGO,35,Expired,2022-01-15,2022-02-08
289,Sports Price Drop,Seasonal Offer,40,Expired,2023-03-30,2023-05-11
290,Independence Day Flash Sale,Weekend Sale,10,Expired,2024-01-15,2024-01-26
291,Electronics Weekend Deal,Seasonal Offer,60,Upcoming,2025-01-05,2025-02-16
292,Sports Discount Fest,Clearance,20,Expired,2021-06-14,2021-06-26
293,Fashion Discount Fest,Flash Sale,30,Expired,2024-04-28,2024-06-04
294,Office Supplies Discount Fest,Limited Time,60,Expired,2022-02-09,2022-02-26
295,Republic Day Mega Offer,BOGO,15,Upcoming,2025-04-18,2025-05-28
296,Black Friday Flash Sale,Weekend Sale,15,Expired,2022-02-12,2022-02-15
297,Black Friday Exclusive,BOGO,20,Expired,2021-10-21,2021-11-15
298,Monsoon Super Saver,Category Discount,35,Expired,2024-02-01,2024-02-14
299,Fashion Weekend Deal,BOGO,20,Upcoming,2025-12-16,2026-01-11
300,Fashion Bonanza,Clearance,15,Expired,2023-10-21,2023-11-25
301,Christmas Furniture Sale,Member Exclusive,30,Expired,2021-10-21,2021-11-21
302,Weekend Sale Automotive,Clearance,50,Expired,2021-06-07,2021-06-19
303,Monsoon Super Saver,Festival Sale,60,Expired,2022-11-11,2022-11-15
304,Back To School Electronics Sale,Weekend Sale,25,Expired,2023-08-18,2023-09-29
305,Year End Flash Sale,Limited Time,50,Expired,2022-12-22,2023-01-31
306,Sports Weekend Deal,Brand Promotion,15,Expired,2023-10-10,2023-10-24
307,Fashion Price Drop,Flash Sale,40,Expired,2023-04-23,2023-05-26
308,Member Exclusive Furniture,BOGO,10,Expired,2024-05-05,2024-05-23
309,New Year Automotive Sale,Category Discount,15,Expired,2024-03-13,2024-04-27
310,Monsoon Exclusive,BOGO,5,Expired,2024-06-15,2024-06-29
311,Sports Bonanza,BOGO,40,Upcoming,2025-07-07,2025-08-15
312,Office Supplies Bonanza,BOGO,60,Expired,2022-05-20,2022-06-23
313,Valentine Super Saver,Limited Time,35,Expired,2022-12-16,2022-12-21
314,Furniture Discount Fest,Brand Promotion,40,Expired,2021-04-19,2021-05-23
315,Diwali Flash Sale,Limited Time,40,Expired,2022-01-16,2022-01-30
316,Fashion Weekend Deal,Member Exclusive,60,Expired,2021-03-07,2021-04-04
317,Automotive Weekend Deal,Seasonal Offer,60,Expired,2021-04-24,2021-05-23
318,Member Exclusive Furniture,BOGO,20,Expired,2021-11-24,2021-12-13
319,Clearance Furniture,Flash Sale,40,Expired,2024-08-14,2024-09-14
320,Christmas Flash Sale,Member Exclusive,25,Upcoming,2025-04-03,2025-04-25
321,Sports Discount Fest,Weekend Sale,10,Expired,2024-11-16,2024-12-02
322,Electronics Weekend Deal,Clearance,35,Expired,2022-02-08,2022-02-12
323,Electronics Price Drop,Limited Time,30,Expired,2024-01-07,2024-01-22
324,Cyber Monday Super Saver,Clearance,60,Expired,2024-08-27,2024-09-01
325,Beauty Bonanza,Member Exclusive,60,Upcoming,2025-12-29,2026-01-11
326,Back To School Exclusive,Member Exclusive,20,Expired,2021-02-16,2021-02-25
327,Festival Exclusive,Category Discount,50,Expired,2023-09-30,2023-10-31
328,Sports Bonanza,Limited Time,30,Expired,2021-10-03,2021-11-04
329,Office Supplies Bonanza,Limited Time,10,Expired,2024-11-08,2024-11-19
330,Automotive Bonanza,Limited Time,5,Expired,2024-09-24,2024-10-28
331,Home Weekend Deal,Category Discount,15,Expired,2022-09-03,2022-10-14
332,Valentine Super Saver,BOGO,5,Expired,2022-10-01,2022-10-19
333,Back To School Mega Offer,BOGO,50,Expired,2023-11-01,2023-11-09
334,Valentine Super Saver,Clearance,30,Expired,2022-03-29,2022-05-04
335,Home Price Drop,Category Discount,5,Expired,2023-05-14,2023-05-17
336,Cyber Monday Super Saver,Festival Sale,15,Upcoming,2025-03-06,2025-03-27
337,Home Discount Fest,Weekend Sale,35,Upcoming,2025-03-06,2025-03-31
338,Clearance Beauty,Limited Time,40,Expired,2022-12-16,2023-01-21
339,Automotive Discount Fest,Brand Promotion,40,Upcoming,2025-09-20,2025-10-05
340,Holi Exclusive,BOGO,50,Expired,2022-03-16,2022-04-21
341,Cyber Monday Electronics Sale,Limited Time,25,Upcoming,2025-06-24,2025-07-17
342,Back To School Super Saver,Festival Sale,25,Expired,2021-01-06,2021-01-22
343,Electronics Price Drop,Festival Sale,10,Upcoming,2025-04-11,2025-04-24
344,Electronics Bonanza,Clearance,35,Expired,2021-04-29,2021-05-22
345,Office Supplies Discount Fest,Weekend Sale,5,Expired,2021-08-09,2021-08-18
